Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-14,0.15,0.15,0.15,0.15,500,0,0
2010-01-15,0.19,0.19,0.15,0.15,0,0,0
2010-01-19,0.19,0.19,0.17,0.17,0,0,0
2010-01-20,0.19,0.19,0.17,0.17,0,0,0
2010-01-21,0.19,0.2,0.19,0.2,21360,0,0
2010-01-22,0.22,0.22,0.19,0.19,0,0,0
2010-01-25,0.22,0.22,0.22,0.22,20000,0,0
2010-01-26,0.22,0.22,0.22,0.22,0,0,0
2010-01-27,0.22,0.22,0.19,0.19,0,0,0
2010-01-29,0.22,0.22,0.15,0.15,0,0,0
2010-02-01,0.22,0.22,0.15,0.15,0,0,0
2010-02-02,0.06,0.06,0.06,0.06,0,0,0
2010-02-03,0.21,0.21,0.16,0.16,0,0,0
2010-02-04,0.21,0.21,0.16,0.16,0,0,0
2010-02-05,0.17,0.17,0.17,0.17,130000,0,0
2010-02-08,0.17,0.17,0.15,0.15,0,0,0
2010-02-09,0.15,0.15,0.15,0.15,100000,0,0
2010-02-10,0.2,0.2,0.14,0.14,0,0,0
2010-02-11,0.2,0.2,0.14,0.14,0,0,0
2010-02-12,0.2,0.2,0.14,0.14,0,0,0
2010-02-16,0.19,0.19,0.14,0.14,0,0,0
2010-02-17,0.19,0.19,0.14,0.14,0,0,0
2010-02-18,0.19,0.19,0.14,0.14,0,0,0
2010-02-19,0.19,0.19,0.15,0.15,0,0,0
2010-02-22,0.19,0.19,0.15,0.15,0,0,0
2010-02-23,0.15,0.15,0.15,0.15,3800,0,0
2010-02-24,0.15,0.15,0.15,0.15,8000,0,0
2010-02-25,0.19,0.19,0.12,0.12,0,0,0
2010-02-26,0.19,0.19,0.12,0.12,0,0,0
2010-03-01,0.19,0.19,0.12,0.12,0,0,0
2010-03-02,0.19,0.19,0.12,0.12,0,0,0
2010-03-03,0.19,0.19,0.12,0.12,0,0,0
2010-03-04,0.19,0.19,0.12,0.12,0,0,0
2010-03-05,0.19,0.19,0.12,0.12,0,0,0
2010-03-08,0.07,0.07,0.07,0.07,0,0,0
2010-03-09,0.12,0.12,0.12,0.12,3800,0,0
2010-03-10,0.18,0.18,0.12,0.12,0,0,0
2010-03-11,0.18,0.18,0.13,0.13,0,0,0
2010-03-12,0.18,0.18,0.13,0.13,0,0,0
2010-03-15,0.18,0.18,0.13,0.13,0,0,0
2010-03-16,0.18,0.18,0.13,0.13,0,0,0
2010-03-17,0.18,0.18,0.14,0.14,0,0,0
2010-03-18,0.18,0.18,0.14,0.14,0,0,0
2010-03-19,0.18,0.18,0.12,0.12,0,0,0
2010-03-22,0.18,0.18,0.15,0.15,0,0,0
2010-03-23,0.15,0.15,0.15,0.15,7500,0,0
2010-03-24,0.18,0.18,0.13,0.13,0,0,0
2010-03-25,0.18,0.18,0.12,0.12,0,0,0
2010-03-26,0.18,0.18,0.12,0.12,0,0,0
2010-03-29,0.18,0.18,0.12,0.12,0,0,0
2010-03-30,0.18,0.18,0.13,0.13,0,0,0
2010-03-31,0.18,0.18,0.14,0.14,0,0,0
2010-04-01,0.18,0.18,0.14,0.14,0,0,0
2010-04-05,0.14,0.14,0.14,0.14,0,0,0
2010-04-06,0.18,0.18,0.14,0.14,0,0,0
2010-04-07,0.18,0.18,0.18,0.18,5700,0,0
2010-04-08,0.2,0.2,0.18,0.18,0,0,0
2010-04-09,0.18,0.18,0.16,0.16,50800,0,0
2010-04-12,0.2,0.2,0.18,0.18,0,0,0
2010-04-13,0.18,0.18,0.18,0.18,7200,0,0
2010-04-14,0.18,0.18,0.12,0.12,0,0,0
2010-04-15,0.18,0.18,0.13,0.13,0,0,0
2010-04-16,0.18,0.18,0.16,0.16,0,0,0
2010-04-19,0.18,0.18,0.16,0.16,0,0,0
2010-04-20,0.18,0.18,0.16,0.16,0,0,0
2010-04-21,0.18,0.18,0.16,0.16,0,0,0
2010-04-22,0.18,0.18,0.16,0.16,0,0,0
2010-04-23,0.18,0.18,0.16,0.16,0,0,0
2010-04-26,0.16,0.16,0.16,0.16,0,0,0
2010-04-27,0.18,0.18,0.18,0.18,7800,0,0
2010-04-28,0.18,0.18,0.18,0.18,1200,0,0
2010-04-29,0.18,0.18,0.17,0.17,0,0,0
2010-04-30,0.18,0.2,0.18,0.2,2850,0,0
2010-05-03,0.2,0.2,0.17,0.17,0,0,0
2010-05-04,0.17,0.17,0.17,0.17,2937,0,0
2010-05-05,0.19,0.19,0.17,0.17,0,0,0
2010-05-06,0.19,0.19,0.17,0.17,0,0,0
2010-05-07,0.08,0.08,0.08,0.08,0,0,0
2010-05-10,0.17,0.17,0.16,0.16,10000,0,0
2010-05-11,0.19,0.2,0.19,0.2,10891,0,0
2010-05-12,0.22,0.22,0.18,0.18,0,0,0
2010-05-13,0.22,0.22,0.18,0.18,0,0,0
2010-05-14,0.2,0.2,0.19,0.19,0,0,0
2010-05-17,0.2,0.2,0.19,0.19,0,0,0
2010-05-18,0.2,0.2,0.18,0.18,0,0,0
2010-05-19,0.1,0.1,0.1,0.1,3000,0,0
2010-05-20,0.18,0.2,0.18,0.2,20004,0,0
2010-05-21,0.2,0.2,0.16,0.16,0,0,0
2010-05-24,0.2,0.2,0.16,0.16,0,0,0
2010-05-25,0.2,0.2,0.16,0.16,0,0,0
2010-05-26,0.2,0.2,0.16,0.16,0,0,0
2010-05-27,0.2,0.2,0.16,0.16,0,0,0
2010-05-28,0.2,0.2,0.16,0.16,0,0,0
2010-06-01,0.2,0.2,0.16,0.16,0,0,0
2010-06-02,0.2,0.2,0.16,0.16,0,0,0
2010-06-03,0.2,0.2,0.16,0.16,0,0,0
2010-06-04,0.2,0.2,0.16,0.16,0,0,0
2010-06-07,0.2,0.2,0.16,0.16,0,0,0
2010-06-08,0.19,0.19,0.16,0.16,0,0,0
2010-06-09,0.19,0.19,0.16,0.16,0,0,0
2010-06-10,0.18,0.18,0.16,0.16,0,0,0
2010-06-11,0.18,0.18,0.16,0.16,0,0,0
2010-06-14,0.16,0.16,0.16,0.16,0,0,0
2010-06-15,0.18,0.18,0.16,0.16,0,0,0
2010-06-16,0.08,0.08,0.08,0.08,3500,0,0
2010-06-17,0.18,0.18,0.16,0.16,0,0,0
2010-06-18,0.18,0.18,0.16,0.16,0,0,0
2010-06-21,0.18,0.18,0.16,0.16,0,0,0
2010-06-22,0.18,0.18,0.16,0.16,0,0,0
2010-06-23,0.18,0.18,0.16,0.16,0,0,0
2010-06-24,0.2,0.2,0.12,0.12,0,0,0
2010-06-25,0.2,0.2,0.12,0.12,0,0,0
2010-06-28,0.06,0.06,0.06,0.06,0,0,0
2010-06-29,0.06,0.06,0.06,0.06,0,0,0
2010-06-30,0.06,0.06,0.06,0.06,0,0,0
2010-07-01,0.15,0.15,0.15,0.15,10000,0,0
2010-07-02,0.06,0.06,0.06,0.06,0,0,0
2010-07-06,0.05,0.05,0.05,0.05,0,0,0
2010-07-07,0.05,0.05,0.05,0.05,0,0,0
2010-07-08,0.05,0.05,0.05,0.05,0,0,0
2010-07-09,0.05,0.05,0.05,0.05,0,0,0
2010-07-12,0.05,0.05,0.05,0.05,0,0,0
2010-07-13,0.05,0.05,0.05,0.05,0,0,0
2010-07-14,0.05,0.05,0.05,0.05,0,0,0
2010-07-15,0.05,0.05,0.05,0.05,0,0,0
2010-07-16,0.05,0.05,0.05,0.05,0,0,0
2010-07-19,0.05,0.05,0.05,0.05,0,0,0
2010-07-20,0.05,0.05,0.05,0.05,0,0,0
2010-07-21,0.05,0.05,0.05,0.05,0,0,0
2010-07-22,0.05,0.05,0.05,0.05,0,0,0
2010-07-23,0.05,0.05,0.05,0.05,0,0,0
2010-07-26,0.06,0.06,0.06,0.06,0,0,0
2010-07-27,0.06,0.06,0.06,0.06,0,0,0
2010-07-28,0.06,0.06,0.06,0.06,0,0,0
2010-07-29,0.06,0.06,0.06,0.06,0,0,0
2010-07-30,0.06,0.06,0.06,0.06,0,0,0
2010-08-02,0.06,0.06,0.06,0.06,0,0,0
2010-08-03,0.06,0.06,0.06,0.06,0,0,0
2010-08-04,0.06,0.06,0.06,0.06,0,0,0
2010-08-05,0.06,0.06,0.06,0.06,0,0,0
2010-08-06,0.06,0.06,0.06,0.06,0,0,0
2010-08-09,0.06,0.06,0.06,0.06,0,0,0
2010-08-10,0.06,0.06,0.06,0.06,0,0,0
2010-08-11,0.06,0.06,0.06,0.06,0,0,0
2010-08-12,0.06,0.06,0.06,0.06,0,0,0
2010-08-13,0.07,0.07,0.07,0.07,0,0,0
2010-08-16,0.08,0.08,0.08,0.08,0,0,0
2010-08-17,0.07,0.07,0.07,0.07,0,0,0
2010-08-18,0.07,0.07,0.07,0.07,30000,0,0
2010-08-19,0.07,0.07,0.07,0.07,0,0,0
2010-08-20,0.07,0.07,0.07,0.07,0,0,0
2010-08-23,0.07,0.07,0.07,0.07,0,0,0
2010-08-24,0.07,0.07,0.07,0.07,6000,0,0
2010-08-25,0.07,0.07,0.07,0.07,0,0,0
2010-08-26,0.07,0.07,0.07,0.07,0,0,0
2010-08-27,0.07,0.07,0.07,0.07,0,0,0
2010-08-30,0.19,0.19,0.19,0.19,0,0,0
2010-08-31,0.19,0.19,0.19,0.19,0,0,0
2010-09-01,0.07,0.07,0.07,0.07,0,0,0
2010-09-02,0.07,0.07,0.07,0.07,0,0,0
2010-09-03,0.07,0.07,0.07,0.07,0,0,0
2010-09-07,0.08,0.08,0.08,0.08,0,0,0
2010-09-08,0.08,0.08,0.08,0.08,0,0,0
2010-09-09,0.08,0.08,0.08,0.08,0,0,0
2010-09-10,0.08,0.08,0.08,0.08,0,0,0
2010-09-13,0.08,0.08,0.08,0.08,0,0,0
2010-09-14,0.08,0.08,0.08,0.08,0,0,0
2010-09-15,0.08,0.08,0.08,0.08,0,0,0
2010-09-16,0.08,0.08,0.08,0.08,0,0,0
2010-09-17,0.09,0.09,0.09,0.09,0,0,0
2010-09-20,0.08,0.08,0.08,0.08,0,0,0
2010-09-21,0.09,0.09,0.08,0.09,77000,0,0
2010-09-22,0.09,0.09,0.09,0.09,0,0,0
2010-09-23,0.09,0.09,0.09,0.09,0,0,0
2010-09-24,0.09,0.09,0.09,0.09,0,0,0
2010-09-27,0.09,0.09,0.09,0.09,0,0,0
2010-09-28,0.08,0.08,0.08,0.08,0,0,0
2010-09-29,0.08,0.08,0.08,0.08,0,0,0
2010-09-30,0.08,0.08,0.08,0.08,0,0,0
2010-10-01,0.08,0.08,0.08,0.08,0,0,0
2010-10-04,0.08,0.08,0.08,0.08,0,0,0
2010-10-05,0.08,0.08,0.08,0.08,0,0,0
2010-10-06,0.08,0.08,0.08,0.08,0,0,0
2010-10-07,0.08,0.08,0.08,0.08,0,0,0
2010-10-08,0.08,0.08,0.08,0.08,0,0,0
2010-10-11,0.19,0.19,0.19,0.19,4000,0,0
2010-10-12,0.07,0.07,0.07,0.07,0,0,0
2010-10-13,0.07,0.07,0.07,0.07,0,0,0
2010-10-14,0.07,0.07,0.07,0.07,3001,0,0
2010-10-15,0.07,0.07,0.07,0.07,0,0,0
2010-10-18,0.07,0.07,0.07,0.07,0,0,0
2010-10-19,0.07,0.07,0.07,0.07,0,0,0
2010-10-20,0.07,0.07,0.07,0.07,0,0,0
2010-10-21,0.07,0.07,0.07,0.07,0,0,0
2010-10-22,0.07,0.07,0.07,0.07,0,0,0
2010-10-25,0.07,0.07,0.07,0.07,0,0,0
2010-10-26,0.07,0.07,0.07,0.07,0,0,0
2010-10-27,0.07,0.07,0.07,0.07,0,0,0
2010-10-28,0.07,0.07,0.07,0.07,0,0,0
2010-10-29,0.07,0.07,0.07,0.07,0,0,0
2010-11-01,0.17,0.17,0.17,0.17,0,0,0
2010-11-02,0.07,0.07,0.06,0.06,0,0,0
2010-11-03,0.07,0.07,0.07,0.07,0,0,0
2010-11-04,0.07,0.07,0.07,0.07,0,0,0
2010-11-05,0.07,0.07,0.07,0.07,0,0,0
2010-11-08,0.07,0.07,0.07,0.07,0,0,0
2010-11-09,0.08,0.08,0.08,0.08,0,0,0
2010-11-10,0.08,0.08,0.08,0.08,0,0,0
2010-11-11,0.08,0.08,0.08,0.08,0,0,0
2010-11-12,0.08,0.08,0.08,0.08,0,0,0
2010-11-15,0.16,0.16,0.16,0.16,0,0,0
2010-11-16,0.08,0.08,0.08,0.08,0,0,0
2010-11-17,0.08,0.08,0.08,0.08,0,0,0
2010-11-18,0.08,0.08,0.08,0.08,0,0,0
2010-11-19,0.08,0.08,0.08,0.08,0,0,0
2010-11-22,0.17,0.18,0.17,0.18,20000,0,0
2010-11-23,0.15,0.15,0.12,0.12,1080000,0,0
2010-11-24,0.1,0.1,0.1,0.1,2500,0,0
2010-11-26,0.08,0.08,0.08,0.08,0,0,0
2010-11-29,0.14,0.14,0.14,0.14,0,0,0
2010-11-30,0.08,0.08,0.08,0.08,0,0,0
2010-12-01,0.08,0.08,0.08,0.08,0,0,0
2010-12-02,0.13,0.13,0.13,0.13,18000,0,0
2010-12-03,0.09,0.09,0.09,0.09,0,0,0
2010-12-06,0.08,0.1,0.08,0.1,20800,0,0
2010-12-07,0.09,0.09,0.09,0.09,0,0,0
2010-12-08,0.09,0.09,0.09,0.09,0,0,0
2010-12-09,0.08,0.08,0.08,0.08,0,0,0
2010-12-10,0.08,0.09,0.08,0.09,0,0,0
2010-12-13,0.13,0.13,0.13,0.13,0,0,0
2010-12-14,0.08,0.09,0.08,0.09,0,0,0
2010-12-15,0.12,0.12,0.12,0.12,10000,0,0
2010-12-16,0.08,0.09,0.08,0.09,0,0,0
2010-12-17,0.08,0.08,0.08,0.08,0,0,0
2010-12-20,0.13,0.13,0.13,0.13,0,0,0
2010-12-21,0.09,0.09,0.09,0.09,0,0,0
2010-12-22,0.09,0.09,0.08,0.08,0,0,0
2010-12-23,0.08,0.08,0.08,0.08,0,0,0
2010-12-27,0.13,0.13,0.13,0.13,0,0,0
2010-12-28,0.08,0.08,0.08,0.08,0,0,0
2010-12-29,0.08,0.1,0.08,0.09,10000,0,0
2010-12-30,0.08,0.08,0.08,0.08,0,0,0
2011-01-03,0.13,0.13,0.13,0.13,0,0,0
2011-01-04,0.08,0.08,0.08,0.08,0,0,0
2011-01-05,0.08,0.08,0.08,0.08,0,0,0
2011-01-06,0.08,0.08,0.08,0.08,0,0,0
2011-01-07,0.08,0.08,0.08,0.08,0,0,0
2011-01-10,0.08,0.08,0.08,0.08,0,0,0
2011-01-11,0.08,0.08,0.08,0.08,0,0,0
2011-01-12,0.09,0.09,0.09,0.09,25000,0,0
2011-01-13,0.09,0.09,0.08,0.08,10000,0,0
2011-01-14,0.08,0.08,0.08,0.08,0,0,0
2011-01-18,0.07,0.07,0.07,0.07,0,0,0
2011-01-19,0.07,0.07,0.07,0.07,0,0,0
2011-01-20,0.07,0.07,0.07,0.07,0,0,0
2011-01-21,0.08,0.08,0.08,0.08,0,0,0
2011-01-24,0.08,0.08,0.08,0.08,0,0,0
2011-01-25,0.14,0.14,0.14,0.14,10000,0,0
2011-01-26,0.08,0.08,0.08,0.08,0,0,0
2011-01-27,0.08,0.08,0.08,0.08,0,0,0
2011-01-28,0.07,0.08,0.07,0.08,0,0,0
2011-01-31,0.08,0.08,0.08,0.08,0,0,0
2011-02-01,0.07,0.07,0.07,0.07,0,0,0
2011-02-02,0.07,0.07,0.07,0.07,0,0,0
2011-02-03,0.07,0.07,0.07,0.07,0,0,0
2011-02-04,0.07,0.07,0.07,0.07,0,0,0
2011-02-07,0.07,0.07,0.07,0.07,0,0,0
2011-02-08,0.08,0.08,0.08,0.08,13000,0,0
2011-02-09,0.08,0.08,0.07,0.07,0,0,0
2011-02-10,0.08,0.08,0.08,0.08,0,0,0
2011-02-11,0.08,0.08,0.08,0.08,0,0,0
2011-02-14,0.08,0.08,0.08,0.08,0,0,0
2011-02-15,0.16,0.16,0.16,0.16,10000,0,0
2011-02-16,0.08,0.08,0.08,0.08,0,0,0
2011-02-17,0.08,0.08,0.08,0.08,0,0,0
2011-02-18,0.08,0.08,0.08,0.08,0,0,0
2011-02-22,0.07,0.08,0.07,0.08,0,0,0
2011-02-23,0.07,0.07,0.07,0.07,0,0,0
2011-02-24,0.07,0.07,0.07,0.07,0,0,0
2011-02-25,0.07,0.07,0.07,0.07,0,0,0
2011-02-28,0.16,0.16,0.16,0.16,24021,0,0
2011-03-01,0.17,0.18,0.17,0.18,37500,0,0
2011-03-02,0.18,0.18,0.18,0.18,13900,0,0
2011-03-03,0.08,0.08,0.08,0.08,0,0,0
2011-03-04,0.08,0.08,0.07,0.07,50000,0,0
2011-03-07,0.07,0.07,0.07,0.07,0,0,0
2011-03-08,0.07,0.07,0.07,0.07,0,0,0
2011-03-09,0.18,0.19,0.18,0.18,148780,0,0
2011-03-10,0.07,0.07,0.07,0.07,0,0,0
2011-03-11,0.06,0.07,0.06,0.07,3600,0,0
2011-03-14,0.17,0.17,0.17,0.17,25882,0,0
2011-03-15,0.16,0.16,0.15,0.16,40000,0,0
2011-03-16,0.06,0.06,0.06,0.06,0,0,0
2011-03-17,0.06,0.06,0.06,0.06,0,0,0
2011-03-18,0.06,0.06,0.06,0.06,0,0,0
2011-03-21,0.06,0.06,0.06,0.06,0,0,0
2011-03-22,0.06,0.06,0.06,0.06,0,0,0
2011-03-23,0.06,0.06,0.06,0.06,0,0,0
2011-03-24,0.16,0.16,0.16,0.16,20000,0,0
2011-03-25,0.06,0.06,0.06,0.06,0,0,0
2011-03-28,0.06,0.06,0.06,0.06,0,0,0
2011-03-29,0.06,0.06,0.06,0.06,0,0,0
2011-03-30,0.06,0.06,0.06,0.06,0,0,0
2011-03-31,0.06,0.06,0.06,0.06,0,0,0
2011-04-01,0.06,0.06,0.06,0.06,0,0,0
2011-04-04,0.06,0.06,0.06,0.06,0,0,0
2011-04-05,0.06,0.06,0.06,0.06,0,0,0
2011-04-06,0.06,0.06,0.06,0.06,0,0,0
2011-04-07,0.06,0.06,0.06,0.06,0,0,0
2011-04-08,0.06,0.06,0.06,0.06,0,0,0
2011-04-11,0.06,0.06,0.06,0.06,0,0,0
2011-04-12,0.06,0.06,0.06,0.06,0,0,0
2011-04-13,0.06,0.06,0.06,0.06,0,0,0
2011-04-14,0.17,0.17,0.17,0.17,28139,0,0
2011-04-15,0.06,0.06,0.06,0.06,0,0,0
2011-04-18,0.06,0.06,0.06,0.06,0,0,0
2011-04-19,0.06,0.06,0.06,0.06,0,0,0
2011-04-20,0.06,0.06,0.06,0.06,0,0,0
2011-04-21,0.06,0.06,0.06,0.06,0,0,0
2011-04-26,0.06,0.06,0.06,0.06,0,0,0
2011-04-27,0.06,0.06,0.06,0.06,0,0,0
2011-04-28,0.06,0.06,0.06,0.06,0,0,0
2011-04-29,0.06,0.06,0.06,0.06,0,0,0
2011-05-02,0.05,0.05,0.05,0.05,0,0,0
2011-05-03,0.05,0.05,0.05,0.05,0,0,0
2011-05-04,0.05,0.05,0.05,0.05,0,0,0
2011-05-05,0.05,0.05,0.05,0.05,0,0,0
2011-05-06,0.17,0.17,0.17,0.17,50000,0,0
2011-05-09,0.05,0.05,0.05,0.05,0,0,0
2011-05-10,0.05,0.05,0.05,0.05,0,0,0
2011-05-11,0.05,0.05,0.05,0.05,0,0,0
2011-05-12,0.05,0.05,0.05,0.05,0,0,0
2011-05-13,0.06,0.06,0.06,0.06,0,0,0
2011-05-16,0.06,0.06,0.06,0.06,0,0,0
2011-05-17,0.06,0.06,0.06,0.06,0,0,0
2011-05-18,0.06,0.07,0.06,0.07,0,0,0
2011-05-19,0.12,0.12,0.12,0.12,37500,0,0
2011-05-20,0.06,0.06,0.06,0.06,0,0,0
2011-05-23,0.06,0.06,0.06,0.06,0,0,0
2011-05-24,0.06,0.06,0.06,0.06,0,0,0
2011-05-25,0.06,0.06,0.06,0.06,0,0,0
2011-05-26,0.06,0.06,0.06,0.06,0,0,0
2011-05-27,0.06,0.06,0.06,0.06,0,0,0
2011-05-31,0.06,0.06,0.06,0.06,0,0,0
2011-06-01,0.06,0.06,0.06,0.06,0,0,0
2011-06-02,0.15,0.15,0.15,0.15,13000,0,0
2011-06-03,0.05,0.05,0.05,0.05,0,0,0
2011-06-06,0.05,0.05,0.05,0.05,0,0,0
2011-06-07,0.05,0.05,0.05,0.05,0,0,0
2011-06-08,0.15,0.15,0.15,0.15,6000,0,0
2011-06-09,0.05,0.05,0.05,0.05,0,0,0
2011-06-10,0.05,0.05,0.05,0.05,0,0,0
2011-06-13,0.05,0.05,0.05,0.05,12000,0,0
2011-06-14,0.05,0.05,0.05,0.05,0,0,0
2011-06-15,0.05,0.05,0.05,0.05,0,0,0
2011-06-16,0.15,0.15,0.15,0.15,6000,0,0
2011-06-17,0.15,0.15,0.15,0.15,27969,0,0
2011-06-20,0.05,0.05,0.05,0.05,0,0,0
2011-06-21,0.05,0.05,0.05,0.05,0,0,0
2011-06-22,0.05,0.05,0.05,0.05,0,0,0
2011-06-23,0.05,0.05,0.05,0.05,0,0,0
2011-06-24,0.05,0.05,0.05,0.05,10000,0,0
2011-06-27,0.17,0.17,0.17,0.17,15000,0,0
2011-06-28,0.05,0.05,0.05,0.05,0,0,0
2011-06-29,0.17,0.17,0.17,0.17,35000,0,0
2011-06-30,0.05,0.05,0.05,0.05,0,0,0
2011-07-01,0.18,0.18,0.18,0.18,14942,0,0
2011-07-05,0.05,0.05,0.05,0.05,0,0,0
2011-07-06,0.05,0.05,0.05,0.05,0,0,0
2011-07-07,0.05,0.05,0.05,0.05,0,0,0
2011-07-08,0.06,0.06,0.06,0.06,0,0,0
2011-07-11,0.06,0.06,0.06,0.06,0,0,0
2011-07-12,0.06,0.06,0.06,0.06,10000,0,0
2011-07-13,0.18,0.18,0.18,0.18,58,0,0
2011-07-14,0.06,0.06,0.06,0.06,0,0,0
2011-07-15,0.06,0.06,0.06,0.06,0,0,0
2011-07-18,0.16,0.16,0.16,0.16,117,0,0
2011-07-19,0.16,0.16,0.16,0.16,20000,0,0
2011-07-20,0.06,0.06,0.06,0.06,0,0,0
2011-07-21,0.17,0.17,0.17,0.17,25000,0,0
2011-07-22,0.06,0.06,0.06,0.06,0,0,0
2011-07-25,0.17,0.17,0.17,0.17,15000,0,0
2011-07-26,0.17,0.17,0.17,0.17,2850,0,0
2011-07-27,0.17,0.18,0.17,0.18,50150,0,0
2011-07-28,0.05,0.05,0.05,0.05,0,0,0
2011-07-29,0.17,0.17,0.17,0.17,30000,0,0
2011-08-01,0.16,0.16,0.16,0.16,12000,0,0
2011-08-02,0.05,0.05,0.05,0.05,0,0,0
2011-08-03,0.05,0.05,0.05,0.05,0,0,0
2011-08-04,0.16,0.16,0.16,0.16,30000,0,0
2011-08-05,0.04,0.04,0.04,0.04,0,0,0
2011-08-08,0.15,0.15,0.15,0.15,5600,0,0
2011-08-09,0.15,0.15,0.14,0.14,96900,0,0
2011-08-10,0.14,0.15,0.14,0.15,63100,0,0
2011-08-11,0.13,0.13,0.13,0.13,13000,0,0
2011-08-12,0.04,0.07,0.04,0.04,4500,0,0
2011-08-15,0.04,0.04,0.04,0.04,0,0,0
2011-08-16,0.04,0.04,0.04,0.04,0,0,0
2011-08-17,0.04,0.04,0.04,0.04,0,0,0
2011-08-18,0.04,0.04,0.04,0.04,0,0,0
2011-08-19,0.04,0.04,0.04,0.04,0,0,0
2011-08-22,0.04,0.04,0.04,0.04,0,0,0
2011-08-23,0.04,0.04,0.04,0.04,0,0,0
2011-08-24,0.04,0.04,0.04,0.04,0,0,0
2011-08-25,0.04,0.04,0.04,0.04,0,0,0
2011-08-26,0.04,0.06,0.04,0.05,20000,0,0
2011-08-29,0.05,0.05,0.05,0.05,0,0,0
2011-08-30,0.05,0.05,0.05,0.05,3800,0,0
2011-08-31,0.04,0.04,0.04,0.04,0,0,0
2011-09-01,0.05,0.05,0.05,0.05,0,0,0
2011-09-02,0.05,0.05,0.05,0.05,0,0,0
2011-09-06,0.05,0.05,0.05,0.05,0,0,0
2011-09-07,0.06,0.06,0.06,0.06,0,0,0
2011-09-08,0.06,0.06,0.06,0.06,0,0,0
2011-09-09,0.15,0.15,0.15,0.15,30000,0,0
2011-09-12,0.06,0.06,0.06,0.06,0,0,0
2011-09-13,0.12,0.12,0.12,0.12,10000,0,0
2011-09-14,0.15,0.15,0.15,0.15,470000,0,0
2011-09-15,0.06,0.06,0.06,0.06,0,0,0
2011-09-16,0.15,0.15,0.15,0.15,40000,0,0
2011-09-19,0.06,0.06,0.06,0.06,0,0,0
2011-09-20,0.06,0.06,0.06,0.06,0,0,0
2011-09-21,0.06,0.06,0.06,0.06,0,0,0
2011-09-22,0.15,0.15,0.15,0.15,227442,0,0
2011-09-23,0.15,0.15,0.15,0.15,558,0,0
2011-09-26,0.04,0.04,0.04,0.04,0,0,0
2011-09-27,0.05,0.05,0.05,0.05,0,0,0
2011-09-28,0.14,0.14,0.14,0.14,30000,0,0
2011-09-29,0.05,0.05,0.05,0.05,0,0,0
2011-09-30,0.05,0.05,0.05,0.05,0,0,0
2011-10-03,0.05,0.05,0.05,0.05,0,0,0
2011-10-04,0.14,0.14,0.14,0.14,70000,0,0
2011-10-05,0.13,0.13,0.13,0.13,4942,0,0
2011-10-06,0.14,0.15,0.14,0.15,64857,0,0
2011-10-07,0.05,0.05,0.05,0.05,0,0,0
2011-10-10,0.14,0.14,0.14,0.14,30000,0,0
2011-10-11,0.05,0.05,0.05,0.05,0,0,0
2011-10-12,0.14,0.14,0.14,0.14,20970,0,0
2011-10-13,0.05,0.05,0.05,0.05,0,0,0
2011-10-14,0.16,0.16,0.15,0.15,195000,0,0
2011-10-17,0.15,0.15,0.14,0.14,105000,0,0
2011-10-18,0.15,0.15,0.14,0.14,14869,0,0
2011-10-19,0.05,0.05,0.05,0.05,0,0,0
2011-10-20,0.05,0.05,0.05,0.05,0,0,0
2011-10-21,0.05,0.05,0.05,0.05,0,0,0
2011-10-24,0.14,0.14,0.14,0.14,100000,0,0
2011-10-25,0.05,0.05,0.05,0.05,0,0,0
2011-10-26,0.05,0.05,0.05,0.05,0,0,0
2011-10-27,0.14,0.14,0.14,0.14,100000,0,0
2011-10-28,0.05,0.05,0.05,0.05,3000,0,0
2011-10-31,0.14,0.14,0.14,0.14,3588,0,0
2011-11-01,0.14,0.14,0.14,0.14,103912,0,0
2011-11-02,0.13,0.14,0.13,0.14,10991,0,0
2011-11-03,0.05,0.05,0.05,0.05,0,0,0
2011-11-04,0.14,0.14,0.14,0.14,100000,0,0
2011-11-07,0.13,0.13,0.13,0.13,3500,0,0
2011-11-08,0.05,0.05,0.05,0.05,0,0,0
2011-11-09,0.14,0.14,0.14,0.14,100000,0,0
2011-11-10,0.05,0.05,0.05,0.05,3112,0,0
2011-11-11,0.05,0.05,0.05,0.05,0,0,0
2011-11-14,0.05,0.05,0.05,0.05,0,0,0
2011-11-15,0.05,0.05,0.05,0.05,0,0,0
2011-11-16,0.05,0.05,0.05,0.05,0,0,0
2011-11-17,0.09,0.09,0.09,0.09,0,0,0
2011-11-18,0.09,0.09,0.09,0.09,0,0,0
2011-11-21,0.09,0.09,0.09,0.09,0,0,0
2011-11-22,0.09,0.09,0.09,0.09,0,0,0
2011-11-23,0.09,0.09,0.09,0.09,0,0,0
2011-11-25,0.09,0.09,0.09,0.09,0,0,0
2011-11-28,0.09,0.09,0.09,0.09,0,0,0
2011-11-29,0.09,0.09,0.09,0.09,0,0,0
2011-11-30,0.09,0.09,0.09,0.09,0,0,0
2011-12-01,0.09,0.09,0.09,0.09,0,0,0
2011-12-02,0.09,0.09,0.09,0.09,0,0,0
2011-12-05,0.09,0.09,0.09,0.09,0,0,0
2011-12-06,0.09,0.09,0.09,0.09,0,0,0
2011-12-07,0.09,0.09,0.09,0.09,0,0,0
2011-12-08,0.09,0.09,0.09,0.09,0,0,0
